Очередность выполнения заказов на бумагоделательную  машину Б-21								10,6					
		 с 8-00 07.10.16 до 19-00 10.10.16											
	Заказ 1С	Потребитель	Марка, сорт	Формат, мм	Масса, г/м2	Объем, тн	Срок выполнения						
							07.10.16 8:00						
59	207	Гофроцех № 2 	Б-0,1	2200	112	4	07.10.16 9:00	0,4					
	203	Гофроцех № 2 	Б-0,1	2000	112	2		0,2					
60	ПрК00000093	Вертикаль (Селенга)	Б-0	2100	112	45	07.10.16 13:00	4,2					
61	ПрК00000093	Уралгофротара	Б-0	2100	112	40	07.10.16 17:00	3,8					
61а	ПрК00000027	БХИ (Атлантис) 	Б-0	1050	112	12	07.10.16 18:00	1,1					
61б	ПрК00000016	Горизонт 52 	Б-0	2100	112	18	07.10.16 20:00	1,7					
62	205	Гофроцех № 2 	Б-0,1	2100	112	5	07.10.16 21:00	0,4					
63	202	Гофроцех № 2 	Б-0,1	1900	112	10		0,9					
	207	Гофроцех № 2 	Б-0,1	2200	112	12	07.10.16 22:00	1,1					
64	208	Гофроцех № 1	Б-0,1	2000	125	10	07.10.16 23:00	0,9					
	211	Гофроцех № 1 	Б-0,1	2140	125	11	08.10.16 0:00	1,0					
65	ПрК00000032	Вертикаль (МВК) 	Б-0	1575	125	17	08.10.16 2:00	1,6					
	ПрК00000029	УПК (Профипак)	Б-0	1050	125	6	08.10.16 3:00	0,6					
66	ПрК00000029	УПК (Профипак)	Б-0	1050	125	10	08.10.16 4:00	0,9					
67	ПрК00000029	УЦ	Б-0	1050	125	20	08.10.16 6:00	1,9					
68	ПрК00000031	УПК (Нижкартон)	Б-0	2100	125	20	08.10.16 8:00	1,9					
69	ПрК00000031	КБ Менеджмент	Б-0	2100	125	20	08.10.16 10:00	1,9					
70	ПрК00000031	УЦ	Б-0	2100	125	40	08.10.16 13:00	3,8					
71	ПрК00000023	РЭП (Ярославский картон) 	Б-0	2300	125	22	08.10.16 15:00	2,1					
	ПрК00000157	РЭП (Престиж Упак) вагон	Б-0	1800	125	17	08.10.16 17:00	1,6					
72	ПрК00000025	РЭП (Престиж Упак) вагон	Б-0	1900	125	10	08.10.16 18:00	0,9					
	ПрК00000465	РЭП (Престиж Упак) вагон	Б-0	2200	125	10	08.10.16 19:00	0,9					
	218	Гофроцех № 2 	Б-0,1	2200	125	2		0,2					
73	214	Гофроцех № 2 	Б-0,1	2000	125	5	08.10.16 20:00	0,5					
	218	Гофроцех № 2 	Б-0,1	2200	125	6		0,6					
74	215	Гофроцех № 2 	Б-0,1	2050	125	10	08.10.16 21:00	0,9					
75	220	Гофроцех № 1 	Б	2050	160	15	08.10.16 22:00	1,4					
76	235	Гофроцех № 2 	Б-0,1	2050	170	45	09.10.16 2:00	4,2					
77	313	Гофроцех № 1 	Б-0,1	2050	170	40	09.10.16 6:00	3,8					
78	233	Гофроцех № 2 	Б-0,1	1900	170	35	09.10.16 9:00	3,3					
	238	Гофроцех № 2 	Б-0,1	2200	170	41	09.10.16 13:00	3,9					
79	234	Гофроцех № 2 	Б-0,1	2000	170	12	09.10.16 14:00	1,1					
	236	Гофроцех № 2 	Б-0,1	2100	170	13	09.10.16 15:00	1,2					
80	238	Гофроцех № 2 	Б-0,1	2200	170	14	09.10.16 16:00	1,3					
	234	Гофроцех № 2 	Б-0,1	2000	170	13	09.10.16 18:00	1,2					
81	236	Гофроцех № 2 	Б-0,1	2100	170	17	09.10.16 20:00	1,6					
82	ПрК00002526	ЮУК (К плюс)	Б-0,1	2100	170	80	10.10.16 4:00	7,5					
83	231	Гофроцех № 1 	Б-0,1	2100	170	20	10.10.16 5:00	1,9					
84	223	Гофроцех № 2 	Б	1900	160	9	10.10.16 6:00	0,8					
	228	Гофроцех № 2 	Б	2200	160	10	10.10.16 7:00	0,9					
85	ПрК00000079	ЮУК (К плюс)	Б	2100	160	16	10.10.16 8:00	1,5					
86	224	Гофроцех № 2 	Б	2000	160	10	10.10.16 9:00	0,9					
	226	Гофроцех № 2 	Б	2100	160	11	10.10.16 10:00	1,0					
87	ПрК00000467	Вертикаль (Селенга) 	Б-0,1	2100	140	50	10.10.16 15:00	4,7					
88	ПрК00000467	Меридиан (БК)	Б-0,1	2100	140	40	10.10.16 19:00	3,8					
													
